parent_article_url,child_link,child_link_name,link_type,status
https://weziwezi.com/ماذا_ينتج_عن_دوران_القمر_حول_الأرض,https://www.universetoday.com/48788/moon-rotation/,"""Moon Rotation""",external,503
https://weziwezi.com/كيف_تتشكل_الثقوب_السوداء,https://www.livescience.com/63436-llm-how-black-holes-form.html,"""?How Does a Black Hole Form""",external,403
https://weziwezi.com/الصفائح_الأرضية_وعلاقتها_بالزلازل_والبراكين,https://www.universetoday.com/27333/types-of-volcanoes/,"""What are the Different Types of Volcanoes?""",external,503
https://weziwezi.com/أنواع_الصفائح_الأرضية,https://www.livescience.com/37706-what-is-plate-tectonics.html,"""What Is Plate Tectonics?""",external,403
https://weziwezi.com/خسوف_الشمس_الكلي_والجزئي,https://www.livescience.com/32671-whats-a-solar-eclipse.html,"""What Is a Solar Eclipse?""",external,403
https://weziwezi.com/دورة_النيتروجين_في_الطبيعة,https://www.livescience.com/28726-nitrogen.html,"""Facts About Nitrogen""",external,403
https://weziwezi.com/ما_هي_مظاهر_التصحر,https://www.livescience.com/27692-deforestation.html,"""Deforestation: Facts, Causes & Effects""",external,403
https://weziwezi.com/نظرية_تكتونية_الصفائح_وزحزحة_القارات,https://www.livescience.com/37706-what-is-plate-tectonics.html,"""What Is Plate Tectonics?""",external,403
https://weziwezi.com/أنواع_التعرية,https://www.livescience.com/63-earth-movers-humans-erosion.html,"""Earth Movers: Humans Cause Most Erosion""",external,403
https://weziwezi.com/انواع_الكثبان_الرملية,https://www.livescience.com/3614-sand-dunes-grow-huge.html,"""How Sand Dunes Grow Huge""",external,403
https://weziwezi.com/خصائص_الأزمنة_الجيولوجية,https://www.livescience.com/43354-precambrian-time.html,"""Precambrian: Facts About the Beginning of Time""",external,403
https://weziwezi.com/قانون_الجذب_العام,https://www.coursehero.com/file/9150987/Newtons-Law-of-Universal-Gravitation/,"""Newtons Law of Universal Gravitation - Newtons Law Law of...""",external,403
https://weziwezi.com/خصائص_الأزمنة_الجيولوجية,https://www.livescience.com/37584-paleozoic-era.html,"""Paleozoic Era: Facts & Information""",external,403
https://weziwezi.com/نص_نظرية_تكتونية_الصفائح,https://www.livescience.com/37706-what-is-plate-tectonics.html,"""What Is Plate Tectonics?""",external,403
https://weziwezi.com/خصائص_الأزمنة_الجيولوجية,https://www.livescience.com/38596-mesozoic-era.html,"""Mesozoic Era: Age of the Dinosaurs""",external,403
https://weziwezi.com/تعريف_التحليل_الكهربائي_البسيط,https://www.livescience.com/45986-what-is-chemistry.html,"""What Is Chemistry?""",external,403
https://weziwezi.com/خصائص_الأزمنة_الجيولوجية,https://www.livescience.com/40352-cenozoic-era.html,"""Cenozoic Era: Facts About Climate, Animals & Plants""",external,403
https://weziwezi.com/معلومات_عن_الحقل_المغناطيسي_الأرضي,https://www.universetoday.com/27005/earths-magnetic-field/,"""What is Earth’s Magnetic Field?""",external,503
https://weziwezi.com/بحث_عن_الموجات_فوق_الصوتية,https://www.livescience.com/38426-ultrasound.html,"""What is a Medical Ultrasound?""",external,403
https://weziwezi.com/بحث_عن_نظرية_الكم_والذرة,https://chem.libretexts.org/Bookshelves/Physical_and_Theoretical_Chemistry_Textbook_Maps/Supplemental_Modules_(Ph,"ysical_and_Theoretical_Chemistry)/Quantum_Mechanics/Gen_Chem_Quantum_Theory/Introduction_to_Quantum_Theory ""Introduction to Quantum Theory""",external,404
https://weziwezi.com/بحث_عن_تركيز_المحلول,https://chem.libretexts.org/Courses/University_of_Arkansas_Little_Rock/Chem_1402%3A_General_Chemistry_1_(Kattoum)/Text/4%3A_Stoichiometry%3A_Quantitative_Information,"""Measuring Concentrations of Solutions""",external,404
https://weziwezi.com/في_أي_عام_صعدت_أمريكا_إلى_الفضاء,https://www.livescience.com/60840-space-travel-brain.html,"""Here's How Space Travel Changes the Brain""",external,403
https://weziwezi.com/تعريف_الطيف_الكهرومغناطيسي,https://www.livescience.com/38169-electromagnetism.html,"""electromagnetic spectrum""",external,403
https://weziwezi.com/أمثلة_على_قاعدة_لنز,https://www.coursehero.com/file/23574927/Lenzs-Law-report/,"""topic: lenz's law""",external,403
https://weziwezi.com/تعريف_الطيف_الكهرومغناطيسي,https://www.universetoday.com/50720/light-spectrum/,"""electromagnetic spectrum""",external,503
https://weziwezi.com/كم_يبعد_القمر_عن_الأرض,https://www.livescience.com/46606-why-does-the-moon-have-phases.html,"""?Why Does the Moon Have Phases""",external,403
https://weziwezi.com/سرعة_دوران_الأرض_حول_نفسها,https://www.universetoday.com/47181/earths-rotation/,"""What is the Rotation of the Earth?""",external,503
https://weziwezi.com/تقرير_عن_الكثبان_الرملية,https://www.livescience.com/3614-sand-dunes-grow-huge.html,"""How Sand Dunes Grow Huge""",external,403
https://weziwezi.com/قوانين_حركة_المقذوفات,https://www.coursehero.com/file/p2j99vt/Factors-Influencing-Projectile-Trajectory-3-factors-influence-the-trajectory/,"""Factors influencing projectile trajectory 3 factors""",external,403
https://weziwezi.com/قانون_مندل_الأول,https://www.livescience.com/7537-monk-peas-changed-world.html,"""mendel and peas""",external,403
https://weziwezi.com/أسباب_التعرية_الساحلية,https://www.coursehero.com/file/181095/Coastal-Erosion-and-Beach-Loss-in-the-Hawaiian-Islands/,"""Coastal Erosion and Beach Loss in the Hawaiian Islands""",external,403
https://weziwezi.com/النظرية_النسبية_الخاصة,https://www.livescience.com/32216-what-is-relativity.html,"""what-is-relativity""",external,403
https://weziwezi.com/استخدامات_الصخور_النارية,https://www.coursehero.com/file/7583932/Types-of-rocks/,"""Types of rocks""",external,403
https://weziwezi.com/النظرية_النسبية_الخاصة,https://www.livescience.com/58245-theory-of-relativity-in-real-life.html,"""relativity-in-real-life""",external,403
https://weziwezi.com/استخدامات_الطاقة_الشمسية_للمنازل,https://www.livescience.com/3096-energy-debates-solar-energy-home.html,"""The Energy Debates: Solar Energy at Home""",external,403
https://weziwezi.com/مكونات_الدارة_الكهربائية_البسيطة,https://www.livescience.com/53875-resistors-capacitors-inductors.html,"""Electricity Basics: Resistance, Inductance and Capacitance""",external,403
https://weziwezi.com/المجال_المغناطيسي_للأرض,https://www.livescience.com/64930-earths-magenetic-field.html,"""Earth's Magnetic Field and Wandering Poles""",external,403
https://weziwezi.com/أساسيات_علم_طبقات_الأرض,https://www.universetoday.com/61200/earths-layers/,"""What are the Earth’s Layers?""",external,503
https://weziwezi.com/تعريف_الخلية_الكهروكيميائية,https://www.livescience.com/50657-how-batteries-work.html,"""How Do Batteries Work?""",external,403
https://weziwezi.com/ما_هي_أخفض_منطقة_على_سطح_الأرض,https://www.livescience.com/56047-why-is-dead-sea-so-salty.html,"""?Why Is the Dead Sea So Salty""",external,403
